#Natural (INST) System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   INSTMAG dMAG   
sn01C
4 52193.28500 17.512 0.021
4 52196.19997 17.543 0.022
4 52197.17071 17.567 0.028
4 52204.24142 17.709 0.023
4 52206.25707 17.829 0.022
4 52221.12829 18.593 0.039
4 52221.13515 18.533 0.031
4 52222.15431 18.562 0.031
4 52225.13291 18.670 0.033
4 52226.27368 18.793 0.054
4 52257.22897 19.563 0.063
4 52261.13648 19.796 0.082
4 52266.19328 19.795 0.101
4 52267.23345 19.764 0.082
5 52169.33192 17.048 0.022
5 52170.27775 17.113 0.026
5 52171.21517 17.158 0.023
5 52172.20602 17.195 0.021
5 52173.22102 17.142 0.022
5 52178.38962 17.416 0.025
5 52188.24473 17.897 0.028
5 52193.28646 17.862 0.026
5 52196.20140 17.824 0.033
5 52204.24322 17.847 0.035
5 52206.25889 17.762 0.027
5 52221.13694 18.619 0.046
5 52222.15610 18.628 0.043
5 52225.13469 18.781 0.047
5 52257.23078 19.914 0.125
5 52261.13828 20.138 0.147
5 52266.19507 20.287 0.203
5 52267.23527 20.318 0.212
sn01en
1 52197.14856 15.444 0.033
1 52206.22347 16.447 0.034
1 52221.12413 18.104 0.049
1 52222.14331 18.174 0.051
1 52225.10766 18.316 0.056
1 52257.20596 18.913 0.077
1 52258.13436 19.093 0.095
1 52266.16265 18.803 0.087
1 52267.20338 18.888 0.082
2 52196.38288 15.372 0.022
2 52197.14399 15.429 0.022
2 52206.22681 16.309 0.020
2 52221.11679 17.882 0.023
2 52222.13318 17.940 0.023
2 52225.11089 18.123 0.024
2 52226.25530 18.216 0.025
2 52257.19640 18.773 0.030
2 52258.12481 18.803 0.033
2 52267.20729 18.942 0.037
3 52196.38434 15.224 0.015
3 52197.14546 15.237 0.015
3 52206.22931 15.759 0.014
3 52221.11927 16.674 0.015
3 52222.13708 16.776 0.016
3 52225.11337 17.010 0.015
3 52226.25779 17.064 0.016
3 52257.19958 17.982 0.020
3 52258.12800 17.977 0.025
3 52267.21046 18.206 0.023
4 52196.38546 15.158 0.019
4 52197.14657 15.186 0.019
4 52206.23113 15.835 0.018
4 52221.12109 16.152 0.019
4 52222.13957 16.241 0.019
4 52225.11516 16.489 0.019
4 52226.25958 16.555 0.019
4 52257.20208 17.706 0.024
4 52258.13049 17.686 0.028
4 52267.21295 17.989 0.031
5 52196.38639 15.534 0.020
5 52197.14750 15.566 0.018
5 52206.23260 16.135 0.019
5 52221.11539 15.898 0.020
5 52221.12253 15.876 0.018
5 52222.14137 15.964 0.018
5 52225.11661 16.225 0.018
5 52226.26103 16.288 0.020
5 52257.20390 17.718 0.035
5 52258.13229 17.822 0.042
5 52266.17405 17.917 0.055
5 52267.21475 17.966 0.047
sn01ep
1 52195.43237 14.886 0.023
1 52197.46390 14.828 0.024
1 52198.30669 14.830 0.021
1 52199.31354 14.823 0.031
1 52205.30618 15.405 0.024
1 52206.37925 15.539 0.036
1 52206.39015 15.535 0.021
1 52221.52928 17.272 0.140
1 52226.34751 17.503 0.216
1 52230.38240 18.024 0.054
1 52234.30244 18.260 0.063
1 52257.31517 18.720 0.085
1 52267.32021 18.924 0.122
2 52196.45727 15.156 0.016
2 52197.45933 15.155 0.055
2 52198.30991 15.080 0.018
2 52199.31675 15.049 0.032
2 52203.34341 15.176 0.016
2 52221.52194 17.176 0.016
2 52226.35073 17.644 0.045
2 52230.38563 17.799 0.018
2 52266.29782 18.532 0.111
3 52195.43807 15.182 0.010
3 52196.45873 15.104 0.013
