Date	Phase	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr	g	gErr	r	rErr	i	iErr	Telescope
2018-02-19.6    +5.9    INDEF   INDEF    14.514  0.035     14.507  0.011     INDEF   INDEF    INDEF   INDEF    14.382  0.005     14.506  0.004     15.243  0.023     LJT  
2018-02-20.2    +6.5    INDEF   INDEF    14.552  0.029     14.540  0.014     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.549  0.015     15.253  0.022     PONM  
2018-02-20.2    +6.5    INDEF   INDEF    14.516  0.011     14.382  0.009     INDEF   INDEF    INDEF   INDEF    14.423  0.008     14.495  0.007     15.320  0.008     Swope  
2018-02-20.3    +6.6    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.418  0.002     14.532  0.002     INDEF   INDEF    PS1  
2018-02-21.0    +8.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.619  0.004     INDEF   INDEF    T50  
2018-02-21.2    +7.5    14.524  0.029     14.646  0.016     14.550  0.014     INDEF   INDEF    INDEF   INDEF    14.450  0.002     14.592  0.002     15.345  0.005     LCO  
2018-02-21.2    +7.5    INDEF   INDEF     14.592  0.010     14.432  0.008     INDEF   INDEF    INDEF   INDEF    14.487  0.008     14.585  0.007     INDEF   INDEF    Swope  
2018-02-21.3    +7.6    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.414  0.012     14.594  0.026     INDEF   INDEF    Gemini  
2018-02-21.5    +7.8    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.472  0.002     INDEF   INDEF    INDEF   INDEF    PS1  
2018-02-21.8    +8.1    INDEF   INDEF    14.637  0.049     14.597  0.015     INDEF   INDEF    INDEF   INDEF    14.490  0.009     14.655  0.014     15.420  0.028     LJT  
2018-02-22.2    +8.5    14.641  0.027     14.721  0.015     14.599  0.014     INDEF   INDEF    INDEF   INDEF    14.503  0.002     14.668  0.002     15.393  0.007     LCO  
2018-02-22.2    +8.5    INDEF   INDEF     14.627  0.011     14.465  0.009     INDEF   INDEF    INDEF   INDEF    14.522  0.008     14.619  0.007     15.453  0.009     Swope  
2018-02-22.3    +8.6    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.467  0.028     INDEF   INDEF    INDEF   INDEF    Gemini  
2018-02-22.7    +9.0    INDEF   INDEF    14.724  0.032     14.635  0.016     INDEF   INDEF    INDEF   INDEF    14.524  0.006     14.759  0.008     15.483  0.012     TNT  
2018-02-23.2    +9.5    INDEF   INDEF    14.765  0.032     14.689  0.012     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.727  0.004     15.465  0.009     PONM  
2018-02-23.2    +9.5    INDEF   INDEF     14.700  0.011     14.507  0.009     INDEF   INDEF    INDEF   INDEF    14.544  0.008     14.678  0.008     15.532  0.009     Swope  
2018-02-23.3    +9.6    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.516  0.011     14.727  0.033     INDEF   INDEF    Gemini  
2018-02-23.4    +9.7    INDEF   INDEF    14.803  0.025     14.660  0.026     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.735  0.019     15.535  0.032     DEMONEXT  
2018-02-23.7    +10.0    INDEF   INDEF    14.774  0.031     14.648  0.010     INDEF   INDEF    INDEF   INDEF    14.556  0.003     14.785  0.005     INDEF   INDEF    TNT  
