#Standard System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   STDMAG dMAG
sn01C
3 52266.30102 17.743 0.039
3 52267.32734 17.749 0.036
3 52320.17340 18.970 0.047
4 52195.43986 14.996 0.011
4 52196.45983 14.959 0.015
4 52197.46190 14.907 0.015
4 52198.31420 14.901 0.020
4 52199.32105 14.866 0.026
4 52203.34770 14.879 0.015
4 52205.31368 14.927 0.017
4 52206.38692 14.959 0.016
4 52206.39782 14.970 0.015
4 52221.52050 15.611 0.016
4 52221.52625 15.601 0.013
4 52227.40840 15.840 0.011
4 52230.38994 16.072 0.015
4 52234.30993 16.354 0.021
4 52257.31128 17.195 0.017
4 52266.30351 17.492 0.034
4 52267.32983 17.475 0.032
4 52320.17588 19.098 0.049
5 52195.44131 15.030 0.012
5 52196.46075 14.985 0.020
5 52197.46284 14.962 0.021
5 52198.31565 14.989 0.013
5 52199.32285 15.006 0.024
5 52203.34913 15.106 0.014
5 52205.31514 15.182 0.015
5 52206.38839 15.235 0.021
5 52206.39929 15.230 0.013
5 52221.52770 15.368 0.018
5 52227.40985 15.495 0.012
5 52230.39140 15.661 0.016
5 52234.31138 15.984 0.013
5 52257.31310 17.065 0.021
5 52266.30530 17.387 0.036
5 52320.17766 19.196 0.121
sn01fe
1 52227.49497 14.174 0.124
1 52233.45095 14.583 0.039
1 52235.45403 14.695 0.066
1 52257.46042 17.267 0.035
1 52263.39328 17.789 0.072
1 52266.46172 17.882 0.039
1 52267.48736 17.947 0.044
1 52283.32250 18.261 0.048
1 52292.33936 18.504 0.079
1 52320.25019 19.174 0.151
2 52227.49880 14.777 0.016
2 52233.45484 14.880 0.020
2 52235.45795 14.992 0.017
2 52255.52802 16.874 0.021
2 52257.45083 17.053 0.016
2 52263.39719 17.485 0.020
2 52266.46564 17.678 0.028
2 52267.49128 17.625 0.016
2 52283.32640 18.055 0.034
2 52292.34326 18.257 0.055
2 52320.25410 18.655 0.037
3 52227.50128 14.745 0.019
3 52229.38454 14.717 0.027
3 52233.45801 14.767 0.017
3 52235.46116 14.833 0.012
3 52255.53120 15.901 0.025
3 52257.45404 15.964 0.014
3 52263.40037 16.307 0.019
3 52266.46881 16.516 0.016
3 52267.49448 16.555 0.011
3 52283.32957 17.087 0.017
3 52292.34645 17.325 0.017
3 52320.25727 18.065 0.022
4 52227.50308 14.748 0.023
4 52229.38701 14.705 0.030
4 52233.46049 14.809 0.020
4 52235.46366 14.839 0.018
4 52255.53369 15.539 0.023
4 52257.45654 15.638 0.018
4 52263.40288 15.906 0.022
4 52266.47128 16.102 0.015
4 52267.49696 16.170 0.012
4 52283.33204 16.815 0.019
4 52292.34896 17.164 0.025
4 52320.25975 17.977 0.028
5 52255.53550 15.483 0.031
5 52257.45834 15.477 0.019
5 52263.40469 15.613 0.026
5 52266.47308 15.818 0.017
5 52292.35075 17.068 0.020
5 52320.26153 17.883 0.150
sn01fh
1 52220.10258 17.545 0.093
1 52221.08561 17.592 0.089
1 52222.07096 17.615 0.082
1 52225.09123 17.629 0.064
1 52228.05774 17.945 0.068
1 52231.09824 18.301 0.069
1 52235.09314 19.187 0.102
2 52220.09313 17.446 0.017
2 52221.07517 17.399 0.020
2 52222.06084 17.375 0.020
2 52225.09583 17.311 0.019
2 52228.06236 17.425 0.017
2 52231.10286 17.720 0.021
2 52235.09774 18.227 0.026
2 52257.05852 20.089 0.099
2 52258.05850 19.999 0.102
2 52267.08271 20.305 0.134
3 52220.09632 16.924 0.019
3 52221.07906 16.841 0.018
3 52222.06472 16.820 0.019
3 52222.07598 16.782 0.017
3 52225.09972 16.707 0.018
3 52228.06624 16.695 0.015
3 52231.10671 16.846 0.019
3 52235.10161 17.166 0.021
3 52257.06241 18.712 0.061
3 52258.06238 18.751 0.040
3 52267.08660 19.058 0.070
4 52220.09883 16.424 0.017
4 52221.08155 16.364 0.016
4 52222.06723 16.371 0.020
4 52225.10221 16.230 0.016
4 52228.06873 16.310 0.017
4 52231.10919 16.538 0.018
4 52235.10409 16.780 0.019
4 52257.06491 18.077 0.035
4 52258.06488 18.012 0.029
4 52267.08907 18.709 0.065
5 52220.10064 16.091 0.023
5 52221.08334 16.043 0.021
5 52222.06903 16.052 0.018
5 52225.10399 16.137 0.019
5 52228.07052 16.224 0.022
5 52231.11097 16.456 0.022
5 52235.10589 16.624 0.025
5 52257.06671 17.390 0.036
5 52258.06668 17.326 0.042
5 52267.09086 17.780 0.036
sn01gb
2 52257.46550 18.738 0.069
2 52267.51512 19.169 0.100
2 52320.27152 20.591 0.338
3 52257.46870 17.588 0.020
3 52266.48929 18.207 0.035
3 52267.51831 18.260 0.031
3 52320.27469 19.809 0.082
4 52257.47120 17.213 0.023
4 52266.49178 17.613 0.036
4 52267.52081 17.654 0.028
4 52320.27716 19.522 0.089
5 52257.47301 17.281 0.029
5 52266.49356 17.369 0.037
5 52267.52260 17.417 0.037
5 52320.27895 19.470 0.129
sn01gc
1 52257.38116 17.840 0.051
1 52262.28242 18.463 0.057
1 52267.37988 19.109 0.081
1 52320.20541 20.275 0.249
2 52257.37157 17.518 0.025
2 52262.20817 18.082 0.027
2 52262.28633 18.148 0.039
2 52266.34858 18.514 0.030
2 52267.38378 18.606 0.030
2 52320.20933 19.875 0.066
3 52257.37479 16.619 0.019
3 52262.21139 16.880 0.020
3 52262.28943 16.885 0.020
3 52266.35177 17.067 0.020
3 52267.38696 17.088 0.020
3 52320.21251 19.004 0.039
4 52257.37728 16.495 0.025
4 52262.21391 16.624 0.025
4 52262.29193 16.585 0.025
4 52266.35431 16.587 0.024
4 52267.38946 16.591 0.024
4 52320.21498 18.682 0.038
5 52257.37910 16.678 0.027
5 52262.21572 16.621 0.026
5 52262.29372 16.614 0.027
5 52266.35610 16.467 0.028
5 52267.39124 16.423 0.026
5 52320.21677 18.585 0.053
sn01ic
2 52257.16216 18.670 0.044
2 52266.14810 19.832 0.137
2 52267.14606 20.051 0.140
3 52257.16536 17.984 0.034
3 52266.15127 18.627 0.063
3 52267.14924 18.720 0.053
4 52257.16785 17.899 0.040
5 52258.09845 18.556 0.110
5 52266.15554 18.354 0.095
sn01ie
1 52257.54487 16.976 0.153
1 52260.41119 17.212 0.134
1 52265.44689 18.160 0.222
1 52266.50372 18.276 0.344
2 52257.53668 16.893 0.025
2 52260.41564 17.162 0.025
2 52293.51376 19.915 0.061
2 52320.29743 20.177 0.161
3 52257.53437 16.753 0.027
3 52257.53955 16.698 0.018
